"uid","timestamp","location.lat","location.long","individual.taxon.canonical.name","tag.local.identifier"
44039,2009-03-09 00:02:41,52.591531,-118.058842,"Alces alces",32
44040,2009-03-09 02:02:41,52.591492,-118.058839,"Alces alces",32
44041,2009-03-09 04:02:41,52.591408,-118.058933,"Alces alces",32
44042,2009-03-09 06:03:03,52.591033,-118.058943,"Alces alces",32
44043,2009-03-09 08:02:47,52.59109,-118.058912,"Alces alces",32
44044,2009-03-09 10:02:46,52.591157,-118.059999,"Alces alces",32
44045,2009-03-09 12:03:20,52.591177,-118.059849,"Alces alces",32
44046,2009-03-09 14:02:40,52.590453,-118.060034,"Alces alces",32
44047,2009-03-09 16:03:03,52.590495,-118.060204,"Alces alces",32
44048,2009-03-09 18:02:41,52.591478,-118.059326,"Alces alces",32
44049,2009-03-09 20:02:43,52.591083,-118.059661,"Alces alces",32
44050,2009-03-09 22:02:41,52.590992,-118.059954,"Alces alces",32
44051,2009-03-10 00:02:40,52.590966,-118.059774,"Alces alces",32
44052,2009-03-10 02:03:05,52.590883,-118.05983,"Alces alces",32
44053,2009-03-10 04:02:40,52.590592,-118.05992,"Alces alces",32
44054,2009-03-10 06:02:41,52.590492,-118.059871,"Alces alces",32
44055,2009-03-10 08:04:01,52.59123,-118.060476,"Alces alces",32
44056,2009-03-10 10:03:03,52.591187,-118.060441,"Alces alces",32
44057,2009-03-10 12:02:41,52.591066,-118.059465,"Alces alces",32
44058,2009-03-10 14:03:25,52.591292,-118.059675,"Alces alces",32
44059,2009-03-10 16:03:03,52.590922,-118.060706,"Alces alces",32
44060,2009-03-10 18:04:01,52.589896,-118.061706,"Alces alces",32
44061,2009-03-10 20:03:03,52.589427,-118.061856,"Alces alces",32
44062,2009-03-10 22:02:40,52.589372,-118.06173,"Alces alces",32
44063,2009-03-11 00:02:41,52.589716,-118.063114,"Alces alces",32
44064,2009-03-11 02:03:04,52.589565,-118.06265,"Alces alces",32
44065,2009-03-11 04:03:04,52.589155,-118.064032,"Alces alces",32
44066,2009-03-11 06:03:43,52.589027,-118.064038,"Alces alces",32
44067,2009-03-11 08:02:49,52.588987,-118.064152,"Alces alces",32
44068,2009-03-11 10:02:59,52.589494,-118.06531,"Alces alces",32
44069,2009-03-11 12:02:40,52.58947,-118.06519,"Alces alces",32
44070,2009-03-11 14:03:32,52.589107,-118.066043,"Alces alces",32
44071,2009-03-11 16:03:03,52.588903,-118.065842,"Alces alces",32
44072,2009-03-11 18:04:00,52.58881,-118.066461,"Alces alces",32
44073,2009-03-11 20:03:03,52.588535,-118.066381,"Alces alces",32
44074,2009-03-11 22:02:41,52.588667,-118.066435,"Alces alces",32
44075,2009-03-12 00:02:40,52.588386,-118.066572,"Alces alces",32
44076,2009-03-12 02:02:52,52.588224,-118.066469,"Alces alces",32
44077,2009-03-12 04:02:50,52.58908,-118.06646,"Alces alces",32
44078,2009-03-12 06:04:00,52.589047,-118.066415,"Alces alces",32
44079,2009-03-12 08:03:05,52.589085,-118.06648,"Alces alces",32
44080,2009-03-12 10:02:41,52.589234,-118.067112,"Alces alces",32
44081,2009-03-12 12:02:45,52.588646,-118.067226,"Alces alces",32
44082,2009-03-12 14:02:55,52.58871,-118.067104,"Alces alces",32
44083,2009-03-12 16:03:06,52.588585,-118.066315,"Alces alces",32
44084,2009-03-12 18:04:00,52.58874,-118.066192,"Alces alces",32
44085,2009-03-12 20:03:04,52.587453,-118.065147,"Alces alces",32
44086,2009-03-12 22:02:41,52.587707,-118.06516,"Alces alces",32
44087,2009-03-13 00:03:03,52.587337,-118.065916,"Alces alces",32
44088,2009-03-13 02:02:41,52.587277,-118.065856,"Alces alces",32
44089,2009-03-13 04:03:08,52.586942,-118.06572,"Alces alces",32
44090,2009-03-13 06:02:47,52.587382,-118.064975,"Alces alces",32
44091,2009-03-13 08:04:00,52.587527,-118.064898,"Alces alces",32
44092,2009-03-13 10:03:03,52.587193,-118.064763,"Alces alces",32
44093,2009-03-13 12:02:46,52.587347,-118.062877,"Alces alces",32
44094,2009-03-13 14:03:04,52.587403,-118.062692,"Alces alces",32
44095,2009-03-13 16:03:03,52.58739,-118.062415,"Alces alces",32
44096,2009-03-13 18:02:41,52.587022,-118.062345,"Alces alces",32
44097,2009-03-13 20:02:41,52.584369,-118.067847,"Alces alces",32
44098,2009-03-13 22:02:41,52.583792,-118.068212,"Alces alces",32
44099,2009-03-14 00:02:37,52.583833,-118.06829,"Alces alces",32
44100,2009-03-14 02:03:04,52.583088,-118.068882,"Alces alces",32
