"uid","timestamp","location.lat","location.long","individual.taxon.canonical.name","tag.local.identifier"
39093,2009-03-08 00:03:03,54.51674,-120.174168,"Alces alces",30
39094,2009-03-08 02:02:36,54.51673,-120.1742,"Alces alces",30
39095,2009-03-08 04:03:49,54.521707,-120.161717,"Alces alces",30
39096,2009-03-08 06:03:03,54.52358,-120.154962,"Alces alces",30
39097,2009-03-08 08:02:39,54.525073,-120.148313,"Alces alces",30
39098,2009-03-08 10:02:41,54.52563,-120.145202,"Alces alces",30
39099,2009-03-08 12:02:37,54.525588,-120.145278,"Alces alces",30
39100,2009-03-08 14:02:48,54.525625,-120.143667,"Alces alces",30
39101,2009-03-08 16:02:53,54.52563,-120.143665,"Alces alces",30
39102,2009-03-08 18:02:40,54.52509,-120.142218,"Alces alces",30
39103,2009-03-08 20:02:41,54.52515,-120.141928,"Alces alces",30
39104,2009-03-08 22:02:40,54.525542,-120.141683,"Alces alces",30
39105,2009-03-09 00:02:40,54.525528,-120.141288,"Alces alces",30
39106,2009-03-09 02:02:45,54.527307,-120.1374,"Alces alces",30
39107,2009-03-09 04:02:41,54.527953,-120.137423,"Alces alces",30
39108,2009-03-09 06:03:03,54.528502,-120.136885,"Alces alces",30
39109,2009-03-09 08:03:30,54.52938,-120.137522,"Alces alces",30
39110,2009-03-09 10:02:41,54.529703,-120.137265,"Alces alces",30
39111,2009-03-09 12:03:04,54.529815,-120.13762,"Alces alces",30
39112,2009-03-09 14:02:41,54.529955,-120.137228,"Alces alces",30
39113,2009-03-09 16:03:03,54.530248,-120.137182,"Alces alces",30
39114,2009-03-09 18:03:03,54.530127,-120.137542,"Alces alces",30
39115,2009-03-09 20:02:41,54.529895,-120.137187,"Alces alces",30
39116,2009-03-09 22:02:40,54.529983,-120.13707,"Alces alces",30
39117,2009-03-10 00:02:40,54.530142,-120.136855,"Alces alces",30
39118,2009-03-10 02:03:03,54.530117,-120.135275,"Alces alces",30
39119,2009-03-10 04:02:40,54.530153,-120.13527,"Alces alces",30
39120,2009-03-10 06:02:43,54.530707,-120.136338,"Alces alces",30
39121,2009-03-10 08:02:40,54.528565,-120.135963,"Alces alces",30
39122,2009-03-10 10:03:03,54.528557,-120.135917,"Alces alces",30
39123,2009-03-10 12:02:41,54.528662,-120.13578,"Alces alces",30
39124,2009-03-10 14:03:03,54.528552,-120.135377,"Alces alces",30
39125,2009-03-10 16:03:03,54.52847,-120.135427,"Alces alces",30
39126,2009-03-10 18:02:40,54.528488,-120.133488,"Alces alces",30
39127,2009-03-10 20:02:41,54.528455,-120.133498,"Alces alces",30
39128,2009-03-10 22:02:40,54.528083,-120.13335,"Alces alces",30
39129,2009-03-11 00:02:40,54.528138,-120.133345,"Alces alces",30
39130,2009-03-11 02:02:40,54.527928,-120.133335,"Alces alces",30
39131,2009-03-11 04:02:41,54.528362,-120.132522,"Alces alces",30
39132,2009-03-11 06:03:03,54.528355,-120.132435,"Alces alces",30
39133,2009-03-11 08:02:47,54.52861,-120.132367,"Alces alces",30
39134,2009-03-11 10:03:03,54.528195,-120.132797,"Alces alces",30
39135,2009-03-11 12:02:53,54.528203,-120.132818,"Alces alces",30
39136,2009-03-11 14:02:40,54.527422,-120.13535,"Alces alces",30
39137,2009-03-11 16:03:03,54.525603,-120.134687,"Alces alces",30
39138,2009-03-11 18:02:40,54.524687,-120.134707,"Alces alces",30
39139,2009-03-11 20:02:40,54.52433,-120.133328,"Alces alces",30
39140,2009-03-11 22:02:36,54.523858,-120.127807,"Alces alces",30
39141,2009-03-12 00:02:41,54.523898,-120.12837,"Alces alces",30
39142,2009-03-12 02:02:40,54.523275,-120.128058,"Alces alces",30
39143,2009-03-12 04:02:41,54.52271,-120.12817,"Alces alces",30
39144,2009-03-12 06:03:02,54.522687,-120.128117,"Alces alces",30
