"uid","timestamp","location.lat","location.long","individual.taxon.canonical.name","tag.local.identifier"
19891,2009-03-08 01:02:40,54.163933,-119.575105,"Alces alces",25
19892,2009-03-08 03:03:04,54.163165,-119.573508,"Alces alces",25
19893,2009-03-08 05:03:03,54.163187,-119.57354,"Alces alces",25
19894,2009-03-08 07:03:03,54.163145,-119.574293,"Alces alces",25
19895,2009-03-08 09:03:03,54.16292,-119.57532,"Alces alces",25
19896,2009-03-08 11:02:43,54.163142,-119.576145,"Alces alces",25
19897,2009-03-08 13:02:40,54.163485,-119.576285,"Alces alces",25
19898,2009-03-08 15:02:41,54.163573,-119.576268,"Alces alces",25
19899,2009-03-08 17:03:03,54.165035,-119.5767,"Alces alces",25
19900,2009-03-08 19:02:43,54.16473,-119.575792,"Alces alces",25
19901,2009-03-08 21:02:40,54.164692,-119.575943,"Alces alces",25
19902,2009-03-08 23:02:41,54.16483,-119.575853,"Alces alces",25
19903,2009-03-09 01:02:40,54.164818,-119.57528,"Alces alces",25
19904,2009-03-09 03:02:41,54.164908,-119.575258,"Alces alces",25
19905,2009-03-09 05:03:03,54.164728,-119.575603,"Alces alces",25
19906,2009-03-09 07:02:40,54.16479,-119.575625,"Alces alces",25
19907,2009-03-09 09:02:40,54.164267,-119.576543,"Alces alces",25
19908,2009-03-09 11:02:40,54.16347,-119.576237,"Alces alces",25
19909,2009-03-09 13:02:40,54.163198,-119.576455,"Alces alces",25
19910,2009-03-09 15:02:44,54.163082,-119.576375,"Alces alces",25
19911,2009-03-09 17:02:41,54.162795,-119.574823,"Alces alces",25
19912,2009-03-09 19:02:41,54.162768,-119.574742,"Alces alces",25
19913,2009-03-09 21:02:40,54.160357,-119.577093,"Alces alces",25
19914,2009-03-09 23:02:41,54.160042,-119.57688,"Alces alces",25
19915,2009-03-10 01:03:03,54.159952,-119.576995,"Alces alces",25
19916,2009-03-10 03:02:41,54.159943,-119.576682,"Alces alces",25
19917,2009-03-10 05:03:03,54.159365,-119.577008,"Alces alces",25
19918,2009-03-10 07:02:40,54.159453,-119.577323,"Alces alces",25
19919,2009-03-10 09:03:04,54.159533,-119.577852,"Alces alces",25
19920,2009-03-10 11:02:40,54.159585,-119.577845,"Alces alces",25
19921,2009-03-10 13:02:55,54.154968,-119.575998,"Alces alces",25
