"uid","timestamp","location.lat","location.long","individual.taxon.canonical.name","tag.local.identifier"
5041,2008-03-14 03:03:27,53.79798,-118.651087,"Alces alces",10
5042,2008-03-14 07:03:36,53.79779,-118.650587,"Alces alces",10
5043,2008-03-14 11:03:04,53.793628,-118.633977,"Alces alces",10
5044,2008-03-14 15:03:05,53.79336,-118.632548,"Alces alces",10
5045,2008-03-14 19:03:05,53.789938,-118.626375,"Alces alces",10
5046,2008-03-14 23:03:05,53.788813,-118.625102,"Alces alces",10
5047,2008-03-15 03:03:04,53.788305,-118.624987,"Alces alces",10
5048,2008-03-15 07:03:05,53.78838,-118.625403,"Alces alces",10
5049,2008-03-15 11:03:04,53.787015,-118.625643,"Alces alces",10
5050,2008-03-15 15:03:04,53.787538,-118.62413,"Alces alces",10
5051,2008-03-15 19:03:05,53.787708,-118.621413,"Alces alces",10
5052,2008-03-15 23:03:05,53.787573,-118.620608,"Alces alces",10
5053,2008-03-16 03:03:04,53.785873,-118.618197,"Alces alces",10
5054,2008-03-16 07:03:17,53.785163,-118.618653,"Alces alces",10
5055,2008-03-16 11:03:05,53.782945,-118.615762,"Alces alces",10
5056,2008-03-16 15:03:06,53.78356,-118.610357,"Alces alces",10
5057,2008-03-16 19:03:05,53.783103,-118.608167,"Alces alces",10
5058,2008-03-16 23:03:05,53.782077,-118.607678,"Alces alces",10
5059,2008-03-17 03:03:04,53.783243,-118.606772,"Alces alces",10
5060,2008-03-17 07:03:05,53.78299,-118.607015,"Alces alces",10
5061,2008-03-17 11:03:04,53.782922,-118.608552,"Alces alces",10
5062,2008-03-17 15:03:04,53.782185,-118.608407,"Alces alces",10
5063,2008-03-17 23:03:04,53.781787,-118.606328,"Alces alces",10
5064,2008-03-18 03:03:04,53.78127,-118.607013,"Alces alces",10
5065,2008-03-18 07:03:30,53.781003,-118.606925,"Alces alces",10
5066,2008-03-18 11:03:53,53.78131,-118.605477,"Alces alces",10
5067,2008-03-18 15:03:04,53.78117,-118.604482,"Alces alces",10
5068,2008-03-18 19:03:25,53.783085,-118.60646,"Alces alces",10
5069,2008-03-18 23:03:04,53.782305,-118.60726,"Alces alces",10
5070,2008-03-19 03:03:05,53.783192,-118.606957,"Alces alces",10
5071,2008-03-19 07:03:05,53.782855,-118.608553,"Alces alces",10
5072,2008-03-19 11:03:04,53.781335,-118.607988,"Alces alces",10
5073,2008-03-19 15:03:05,53.780925,-118.607842,"Alces alces",10
5074,2008-03-19 19:04:00,53.780073,-118.605922,"Alces alces",10
5075,2008-03-19 23:03:05,53.780002,-118.604893,"Alces alces",10
5076,2008-03-20 03:03:04,53.779265,-118.604548,"Alces alces",10
5077,2008-03-20 07:03:12,53.779158,-118.603925,"Alces alces",10
5078,2008-03-20 11:03:05,53.779928,-118.604433,"Alces alces",10
5079,2008-03-20 15:03:35,53.781297,-118.607432,"Alces alces",10
5080,2008-03-20 19:03:24,53.782223,-118.607182,"Alces alces",10
5081,2008-03-20 23:04:04,53.78332,-118.606338,"Alces alces",10
5082,2008-03-21 03:03:40,53.783737,-118.607298,"Alces alces",10
5083,2008-03-21 07:03:04,53.783223,-118.608195,"Alces alces",10
5084,2008-03-21 11:03:05,53.78306,-118.607515,"Alces alces",10
5085,2008-03-21 15:04:00,53.78412,-118.60866,"Alces alces",10
5086,2008-03-21 19:03:17,53.785557,-118.608725,"Alces alces",10
5087,2008-03-21 23:03:05,53.784918,-118.607147,"Alces alces",10
5088,2008-03-22 03:03:05,53.783895,-118.606808,"Alces alces",10
5089,2008-03-22 07:03:04,53.783413,-118.607792,"Alces alces",10
5090,2008-03-22 11:03:04,53.782763,-118.607915,"Alces alces",10
5091,2008-03-22 15:03:35,53.781487,-118.607967,"Alces alces",10
5092,2008-03-22 19:03:30,53.778135,-118.606587,"Alces alces",10
5093,2008-03-22 23:03:35,53.776923,-118.606185,"Alces alces",10
5094,2008-03-23 03:04:00,53.776475,-118.605262,"Alces alces",10
5095,2008-03-23 07:03:06,53.77697,-118.605737,"Alces alces",10
5096,2008-03-23 11:03:05,53.776365,-118.60486,"Alces alces",10
5097,2008-03-23 15:03:24,53.775187,-118.605168,"Alces alces",10
5098,2008-03-23 19:03:34,53.770615,-118.61428,"Alces alces",10
5099,2008-03-23 23:03:04,53.770237,-118.613987,"Alces alces",10
5100,2008-03-24 03:03:59,53.768968,-118.613225,"Alces alces",10
5101,2008-03-24 07:03:04,53.768467,-118.611397,"Alces alces",10
5102,2008-03-24 11:03:05,53.770257,-118.61421,"Alces alces",10
5103,2008-03-24 15:04:00,53.770897,-118.615275,"Alces alces",10
5104,2008-03-24 19:03:04,53.770253,-118.617198,"Alces alces",10
5105,2008-03-24 23:03:04,53.768612,-118.624585,"Alces alces",10
5106,2008-03-25 03:03:04,53.768142,-118.624545,"Alces alces",10
5107,2008-03-25 07:03:05,53.768747,-118.624628,"Alces alces",10
5108,2008-03-25 11:03:05,53.772575,-118.629635,"Alces alces",10
5109,2008-03-25 15:03:35,53.774565,-118.631863,"Alces alces",10
5110,2008-03-25 19:03:35,53.775372,-118.632037,"Alces alces",10
5111,2008-03-25 23:03:04,53.7761,-118.630873,"Alces alces",10
5112,2008-03-26 03:03:05,53.77603,-118.631515,"Alces alces",10
5113,2008-03-26 07:03:06,53.775363,-118.632513,"Alces alces",10
5114,2008-03-26 11:03:06,53.774512,-118.631847,"Alces alces",10
5115,2008-03-26 15:04:00,53.77403,-118.63206,"Alces alces",10
5116,2008-03-26 19:03:06,53.774217,-118.632592,"Alces alces",10
5117,2008-03-26 23:03:04,53.772622,-118.630892,"Alces alces",10
5118,2008-03-27 03:03:05,53.77295,-118.630883,"Alces alces",10
5119,2008-03-27 07:03:04,53.773695,-118.630637,"Alces alces",10
5120,2008-03-27 11:03:04,53.77502,-118.6331,"Alces alces",10
5121,2008-03-27 15:03:29,53.77615,-118.634703,"Alces alces",10
5122,2008-03-27 19:03:54,53.777607,-118.629385,"Alces alces",10
5123,2008-03-27 23:03:06,53.778133,-118.629058,"Alces alces",10
5124,2008-03-28 03:03:05,53.77902,-118.628503,"Alces alces",10
